id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17478107,Second floor retreat- Relax and enjoy,106261347,1467288676852513020,Judit,,North Riverdale,43.6695398,-79.3500616,Private room,287,1,393,2026-04-28,3.62,3,267,47,STR-2012-GBKVHD
26776753,Toronto’s Danforth/Riverdale Prime Location,112315790,1467356374440135226,Anastasia,,North Riverdale,43.6754,-79.34584,Private room,199,1,432,2026-05-12,4.53,1,123,56,STR-2101-GCGBHD
31390246,Single Room - Riverdale Temenos,119352112,1468216887439552345,Karen,,North Riverdale,43.67215,-79.343,Private room,61,28,53,2025-08-02,0.59,3,338,1,
5773475,Charming one bedroom condo + office,195095,1462512343678917146,Urbano,,North St.James Town,43.67176,-79.37947,Entire home/apt,195,28,1,2016-07-17,0.01,13,364,0,
2140635,Downtown One Bedroom Condo - Long Term,195095,1462512343678917146,Urbano,,North St.James Town,43.67097,-79.3792,Entire home/apt,,30,3,2016-05-29,0.02,13,1,0,
18556893,Close 2 everything downtown Toronto,811383,1462530151347101612,Illanith,,North St.James Town,43.66843,-79.37541,Entire home/apt,503,28,1,2023-04-30,0.03,1,358,0,
2739614,Traveler's Home,4420576,1462535477829736508,Vicky,,North St.James Town,43.669510485570271,-79.37260225,Private room,76,28,0,,,2,180,0,
288341,Beautiful Victorian Home,1368256,1462543923639080228,Robert,,North St.James Town,43.67098,-79.37434,Entire home/apt,354,2,67,2026-03-05,0.43,1,329,8,STR-2009-GXRRPH
20904081,Luxurious Linden Lair,25900824,1462635337145694862,Arjun,,North St.James Town,43.67206,-79.37587,Private room,225,28,15,2019-02-28,0.14,1,267,0,
3849815,Heart of Downtown Spacious 1BR Apartment,4129654,1462648189960241262,Justin,,North St.James Town,43.66757,-79.37842,Entire home/apt,314,2,113,2026-04-19,0.94,1,152,15,STR-2406-GYDPPV
16562471,Curated Downtown Art Retreat | Free Park & Scooter,32098475,1462657397037373563,Matthew,,North St.James Town,43.671199798583984,-79.37406921,Entire home/apt,252,1,80,2026-05-17,0.71,1,49,39,STR-2304-GVKVHV
1651958,renovated cozy bachelor downtown Toronto,6044009,1462696395266786926,Fabricio,,North St.James Town,43.66823,-79.37906,Entire home/apt,682,3,191,2026-04-26,1.31,1,160,12,STR-2011-HLHDVK
20330491,Private living+bdr+bath+parking in center Downtown,14926380,1462950181863404188,Andy,,North St.James Town,43.66826,-79.37776,Private room,68,28,109,2026-04-16,1.02,1,186,3,
15127074,Luxury Downtown Suite Steps to Subway & Yorkville,16435332,1462986630557656762,Tony,,North St.James Town,43.67004,-79.37593,Entire home/apt,109,28,12,2026-02-24,0.21,1,235,2,
12386530,Bright downtown Toronto studio Renovated & Modern,23411297,1465272926656246263,Marcus Vinicius,,North St.James Town,43.66891,-79.3783,Entire home/apt,357,1,198,2026-05-20,1.62,1,267,9,STR-2512-HVDFBY
6047019,Yonge and Bloor Studio Apartment,31383165,1465461547389316183,Crystal,,North St.James Town,43.6711,-79.37938,Entire home/apt,137,28,32,2020-09-27,0.26,2,90,0,
7501176,Taigh Ice,32293624,1465474357571900368,Ice,,North St.James Town,43.66902,-79.37084,Private room,121,28,16,2020-11-10,0.12,4,365,0,
28761027,Charming Downtown Toronto Room.,34696401,1465511517857940862,Benny Chagas,,North St.James Town,43.669029255277231,-79.37204195,Private room,605,1,4,2025-04-28,0.24,1,56,0,STR-2410-HHZBPW
13257078,Cozy Room in the Heart of Toronto,40813523,1465607644598742202,Jon,,North St.James Town,43.6695,-79.37706,Private room,203,28,0,,,1,363,0,
30537622,"Cozy One Bedroom, Toronto Downtown,Superb Location",44689932,1465663359992633677,Slobodan,,North St.James Town,43.669488487934608,-79.37656739,Entire home/apt,243,1,137,2026-05-16,1.52,1,22,22,STR-2105-HWVKVL
10791293,Downtown Luxury Suite! Private Bathroom,55843503,1465914305610750987,Noris Angela,,North St.James Town,43.66914,-79.37625,Private room,256,2,101,2026-04-27,0.82,1,89,10,STR-2012-GSRRVG
15377883,Balcony apartment in downtown Toronto with parking,83340135,1467009271183615302,Fahad,,North St.James Town,43.66899,-79.37876,Entire home/apt,137,28,97,2026-03-04,0.91,1,354,20,STR-2209-HDSRVJ
16071746,Heritage Home in Cabbagetown downtown Toronto,104551258,1467256672716621680,Mike,,North St.James Town,43.66787,-79.37155,Entire home/apt,689,29,10,2020-11-13,0.09,4,177,0,
31354275,Cozy single room great for single travellers,48821560,1462711057772769789,Julie,,O'Connor-Parkview,43.70758,-79.30075,Private room,59,28,134,2023-11-30,1.5,2,181,0,STR-2011-GKBDVF
14760481,1BR with unique charm and extras,48821560,1462711057772769789,Julie,,O'Connor-Parkview,43.70963,-79.30059,Entire home/apt,118,28,214,2022-11-25,1.84,2,308,0,STR-2011-GKBDVF
27028688,Ravine Haus-Calm cul de sac in a ravine park,13029718,1462901418171723405,Andreas,,O'Connor-Parkview,43.70229,-79.32777,Entire home/apt,424,1,82,2026-05-02,0.87,1,118,15,STR-2011-FGSXVB
29234133,Entire Apartment (Lower part of a house),47806591,1465722224649823550,Aphrodite,,O'Connor-Parkview,43.70987,-79.30062,Entire home/apt,,30,15,2026-05-09,0.16,1,10,4,
30425730,"Cozy 2 Bedroom Suite, with parking,  self check in",66504345,1466821767513653244,Adriana,,O'Connor-Parkview,43.70751,-79.31103,Entire home/apt,101,28,101,2024-11-18,1.12,1,178,0,
196584,Spacious 1 Bedroom Suite on Subway Line!,957466,1462534276259449774,Karen,,Oakridge,43.694668,-79.286751,Entire home/apt,82,28,71,2026-01-03,0.6,1,287,8,STR-2012-HLWPHK
28007203,Maison Madelaine,4587469,1462660917239239397,Jason,,Oakridge,43.69407,-79.28833,Entire home/apt,494,1,33,2020-12-28,0.35,1,16,0,STR-2508-HRZLBY
29660304,Family space full privacy all amenities nearby,8373692,1462766805547586770,Ashoke,,Oakridge,43.69552,-79.27804,Private room,136,2,246,2026-05-10,2.69,1,245,35,STR-2009-GVDRPH
29127322,Bright 1 Bedroom Basement Apartment,190158464,1463097165319189422,Brittany,,Oakridge,43.6953,-79.27645,Entire home/apt,,28,40,2025-09-13,0.43,1,0,1,
11943375,Basement private room parking and Netflix free,63763172,1466786914135036316,Janaina,,Oakridge,43.69139,-79.28603,Private room,132,2,233,2026-04-17,1.9,1,353,16,STR-2303-FLDVHP
27733959,+Glowing glass art & free laundry!,4252740,1462534492051064526,Nicole,,Oakwood Village,43.68408,-79.43826,Entire home/apt,,28,34,2025-09-23,0.36,1,0,1,
13523146,Bright and Modern Near Restaurants,9560823,1462570122962414058,Daniela,,Oakwood Village,43.68594,-79.43419,Entire home/apt,347,3,152,2025-12-27,1.26,2,168,15,STR-2408-FHJLBP
7989703,Well equipped 2 bdrm good location Family Friendly,27848617,1462642506382224364,Eli,,Oakwood Village,43.68846,-79.43579,Entire home/apt,88,28,94,2025-12-14,0.82,1,246,1,STR-2012-HCCPHJ
16751622,StClair West Modern Oasis - Toronto midtown,30902884,1462653206649905348,Nancy,,Oakwood Village,43.67973,-79.4426,Entire home/apt,84,28,261,2026-03-28,2.33,1,249,6,STR-2010-GZVDPH
9477844,Family Home Near St Clair W and Public Transport,5583826,1462684318453590137,Lisa,,Oakwood Village,43.68033,-79.44039,Entire home/apt,483,1,216,2026-04-19,1.7,1,199,23,STR-2012-HJFXVJ
6164502,Modern Rustic Laneway Entire Home w/Patio,6835147,1462716491440473904,Ashley,,Oakwood Village,43.685391658394032,-79.44083663,Entire home/apt,249,3,68,2025-11-16,1.89,1,220,16,STR-2305-FSVKVQ
17543682,Home Away from Home on St. Clair W./Corso Italia,77248847,1462819546119773194,Rita,,Oakwood Village,43.68018,-79.44025,Entire home/apt,457,3,39,2026-04-27,0.89,1,290,15,STR-2208-FMTVHC
10293648,Great Family-Friendly Toronto  Apt and backyard,10492797,1462842072431008544,Rhonda,,Oakwood Village,43.68271,-79.4365,Entire home/apt,99,28,181,2025-12-29,1.45,1,267,5,STR-2012-HYPDVL
27704943,Basement apartment one or two people,111539347,1462898996078604231,Hildson,,Oakwood Village,43.69234,-79.43847,Private room,,28,10,2020-03-22,0.11,1,0,0,
22644648,"Minutes to downtown, TV, wifi, private washroom.",166751343,1463033572377365143,Mini,,Oakwood Village,43.69731,-79.43945,Private room,153,1,357,2026-05-19,3.53,1,99,49,STR-2107-FKPPHB
32108020,"Cozy, bright and relaxing room in Toronto",51846997,1465816648418119900,Xueyong,,Oakwood Village,43.685448309493275,-79.43238315,Private room,86,1,142,2026-05-09,1.63,3,317,21,STR-2012-FTGBHC
11022842,PRIVATE ROOM FOR STUDENTS,57200320,1465934964094025808,Geiza,,Oakwood Village,43.68729,-79.44681,Private room,77,30,0,,,1,364,0,
19701022,"Sunny, Central, Private Apt- Close to Downtown",136724699,1468360526981423786,Joanna,,Oakwood Village,43.68321,-79.43008,Entire home/apt,72,28,65,2026-05-11,0.6,3,59,3,
25339505,1 x Bedroom Modern Apartment (2xBeds),140142413,1468387380123259417,Niall,,Oakwood Village,43.69173,-79.43814,Entire home/apt,206,2,88,2026-05-07,0.91,1,28,37,STR-2503-JGMHPZ
25892515,Great Midtown Toronto Apartment,194562487,1469013814794812366,Edna Kris,,Oakwood Village,43.69179,-79.43755,Entire home/apt,75,28,34,2025-10-13,0.36,1,232,2,
